,HBW,HTT,MMIPS,MET,MBW,MTT,RMIPS,RET,RBW,RTT,BBW,BTT,TT
2202,1,4,4,4,1,4,2,4,1,4,1,1,4
2203,1,4,4,4,1,4,1,1,2,1,4,1,2
2204,1,4,4,4,1,4,3,4,1,4,1,4,4
2205,1,4,4,4,1,4,1,1,1,3,1,4,3
2206,1,4,4,4,1,3,3,4,1,3,1,4,4
2207,1,4,4,4,1,3,1,1,1,3,1,4,3
2208,1,4,4,4,1,3,4,4,1,4,1,4,4
2209,1,4,4,4,1,3,1,1,4,1,1,4,3
2210,1,4,4,4,2,1,3,4,1,4,1,4,4
2211,1,4,4,4,4,1,1,1,4,1,1,4,3
2212,4,1,4,4,4,1,2,4,1,4,1,1,3
2213,4,1,4,4,3,1,1,1,2,1,4,1,2
2214,4,1,4,4,1,4,3,4,1,4,1,4,4
2215,4,1,4,4,1,4,1,1,1,3,1,4,3
2216,4,1,4,4,1,4,3,4,1,3,1,4,4
2217,4,1,4,4,1,4,1,1,1,3,1,4,3
2218,4,1,4,4,1,4,4,4,1,4,1,4,4
2219,4,1,4,4,1,4,1,1,4,1,1,4,2
2220,4,1,4,4,1,4,3,4,1,4,1,4,4
2221,4,1,4,4,1,4,1,1,4,1,1,4,2
2222,4,1,4,4,4,1,2,4,1,4,1,1,3
2223,4,1,4,4,2,1,1,1,2,1,4,1,2
2224,4,1,4,4,1,4,3,4,1,4,1,4,4
2225,4,1,4,4,1,4,1,1,1,3,1,4,3
2226,4,1,4,4,1,4,3,4,1,3,1,4,4
2227,4,1,4,4,1,4,1,1,1,3,1,4,3
2228,4,1,4,4,1,4,4,4,1,4,1,4,4
2229,4,1,4,4,1,4,1,1,4,1,1,4,2
2230,4,1,4,4,1,4,3,4,1,4,1,4,4
2231,4,1,4,4,1,4,1,1,4,1,1,4,2
2232,4,1,4,4,2,1,2,4,1,4,1,1,3
2233,4,1,4,4,1,4,3,4,1,4,1,4,4
2234,4,1,4,4,1,4,1,1,1,3,1,4,3
2235,4,1,4,4,1,4,3,4,1,3,1,4,4
2236,4,1,4,4,1,4,1,1,1,3,1,4,3
2237,4,1,4,4,1,4,4,4,1,4,1,4,4
2238,4,1,4,4,1,4,1,1,4,1,1,4,2
2239,4,1,4,4,1,4,3,4,1,4,1,4,4
2240,4,1,4,4,1,4,1,1,4,1,1,4,2
2241,1,4,4,4,1,4,2,4,1,4,1,1,4
2242,1,4,4,4,1,4,1,1,2,1,4,1,2
2243,1,4,4,4,1,4,3,4,1,4,1,4,4
2244,1,4,4,4,1,4,1,1,1,3,1,4,3
2245,1,4,4,4,1,3,3,4,1,3,1,4,4
2246,1,4,4,4,1,3,1,1,1,3,1,4,3
2247,1,4,4,4,1,3,4,4,1,4,1,4,4
2248,1,4,4,4,1,3,1,1,4,1,1,4,3
2249,1,4,4,4,2,1,3,4,1,4,1,4,4
2250,1,4,4,4,4,1,1,1,4,1,1,4,3
2251,1,4,4,4,1,4,2,4,1,4,1,1,4
2252,1,4,4,4,1,4,1,1,2,1,4,1,2
2253,1,4,4,4,1,4,3,4,1,4,1,4,4
2254,1,4,4,4,1,4,1,1,1,3,1,4,3
2255,1,4,4,4,1,2,3,4,1,3,1,4,4
2256,1,4,4,4,1,2,1,1,1,3,1,4,3
2257,1,4,4,4,3,1,4,4,1,4,1,4,4
2258,1,4,4,4,3,1,1,1,4,1,1,4,3
2259,1,4,4,4,1,3,3,4,1,4,1,4,4
2260,1,4,4,4,1,3,1,1,4,1,1,4,3
2261,4,1,4,4,4,1,2,4,1,4,1,1,3
2262,4,1,4,4,2,1,1,1,2,1,4,1,2
2263,4,1,4,4,1,4,3,4,1,4,1,4,4
2264,4,1,4,4,1,4,1,1,1,3,1,4,3
2265,4,1,4,4,1,4,3,4,1,3,1,4,4
2266,4,1,4,4,1,4,1,1,1,3,1,4,3
2267,4,1,4,4,1,4,4,4,1,4,1,4,4
2268,4,1,4,4,1,4,1,1,4,1,1,4,2
2269,4,1,4,4,1,4,3,4,1,4,1,4,4
2270,4,1,4,4,1,4,1,1,4,1,1,4,2
2271,4,1,4,4,4,1,2,4,1,4,1,1,3
2272,4,1,4,4,2,1,1,1,2,1,4,1,2
2273,4,1,4,4,1,4,3,4,1,4,1,4,4
2274,4,1,4,4,1,4,1,1,1,3,1,4,3
2275,4,1,4,4,1,4,3,4,1,3,1,4,4
2276,4,1,4,4,1,4,1,1,1,3,1,4,3
2277,4,1,4,4,1,4,4,4,1,4,1,4,4
2278,4,1,4,4,1,4,1,1,4,1,1,4,2
2279,4,1,4,4,1,4,3,4,1,4,1,4,4
2280,4,1,4,4,1,4,1,1,4,1,1,4,2
2281,4,1,4,4,4,1,2,4,1,4,1,1,3
2282,4,1,4,4,2,1,1,1,2,1,4,1,2
2283,4,1,4,4,1,4,3,4,1,4,1,4,4
2284,4,1,4,4,1,4,1,1,1,3,1,4,3
2285,4,1,4,4,1,4,3,4,1,3,1,4,4
2286,4,1,4,4,1,4,1,1,1,3,1,4,3
2287,4,1,4,4,1,4,4,4,1,4,1,4,4
2288,4,1,4,4,1,4,1,1,4,1,1,4,2
2289,4,1,4,4,1,4,3,4,1,4,1,4,4
2290,4,1,4,4,1,4,1,1,4,1,1,4,2
2291,4,1,4,4,4,1,2,4,1,4,1,1,3
2292,4,1,4,4,2,1,1,1,2,1,4,1,2
2293,4,1,4,4,1,4,3,4,1,4,1,4,4
2294,4,1,4,4,1,4,1,1,1,3,1,4,3
2295,4,1,4,4,1,4,3,4,1,3,1,4,4
2296,4,1,4,4,1,4,1,1,1,3,1,4,3
2297,4,1,4,4,1,4,4,4,1,4,1,4,4
2298,4,1,4,4,1,4,1,1,4,1,1,4,2
2299,4,1,4,4,1,4,3,4,1,4,1,4,4
2300,4,1,4,4,1,4,1,1,4,1,1,4,2
2301,4,1,4,4,4,1,2,4,1,4,1,1,3
2302,4,1,4,4,2,1,1,1,2,1,4,1,2
2303,4,1,4,4,1,4,3,4,1,4,1,4,4
2304,4,1,4,4,1,4,1,1,1,3,1,4,3
2305,4,1,4,4,1,4,3,4,1,3,1,4,4
2306,4,1,4,4,1,4,1,1,1,3,1,4,3
2307,4,1,4,4,1,4,4,4,1,4,1,4,4
2308,4,1,4,4,1,4,1,1,4,1,1,4,2
2309,4,1,4,4,1,4,3,4,1,4,1,4,4
2310,4,1,4,4,1,4,1,1,4,1,1,4,2
